wordform,lemma
барыстара,барыс
барыстарбыт,барыс
барыстарбытын,барыс
барыстарга,барыс
барыстардаах,барыс
барыстардаахxа,барыс
барыстартан,барыс
барыстары,барыс
барыстарым,барыс
барыстарын,барыс
барыта,бары
барыттан,бары
барытын,бары
барыһа,барыс
барыһы,барыс
барыһым,барыс
барыһын,барыс
баҕабыт,баҕа
баҕалаах,баҕа
баҕалаахтарга,баҕа
баҕалар,баҕа
баҕалара,баҕа
баҕаларбыт,баҕа
баҕаларбытын,баҕа
баҕаларга,баҕа
баҕалардаах,баҕа
баҕалардаахxа,баҕа
баҕалартан,баҕа
баҕалары,баҕа
баҕаларым,баҕа
баҕаларын,баҕа
баҕам,баҕа
баҕаны,баҕа
баҕата,баҕа
баҕаттан,баҕа
баҕатын,баҕа
баҕаҕа,баҕа
биирбит,биир
бииргэ,биир
биирдэр,биир
биирдэрбит,биир
биирдэрбитин,биир
биирдэргэ,биир
биирдэрдээх,биир
биирдэрдээхxэ,биир
биирдэри,биир
биирдэрим,биир
биирдэрин,биир
биирдэртэн,биир
биирдэрэ,биир
биирдээх,биир
биирдээхтэргэ,биир
биири,биир
биирим,биир
биирин,биир
бииртэн,биир
биирэ,биир
бириэмийэбит,бириэмийэ
бириэмийэлэр,бириэмийэ
бириэмийэлэрбит,бириэмийэ
бириэмийэлэрбитин,бириэмийэ
бириэмийэлэргэ,бириэмийэ
бириэмийэлэрдээх,бириэмийэ
бириэмийэлэрдээхxэ,бириэмийэ
бириэмийэлэри,бириэмийэ
бириэмийэлэрим,бириэмийэ
бириэмийэлэрин,бириэмийэ
бириэмийэлэртэн,бириэмийэ
бириэмийэлэрэ,бириэмийэ
бириэмийэлээх,бириэмийэ
бириэмийэлээхтэргэ,бириэмийэ
бириэмийэм,бириэмийэ
бириэмийэни,бириэмийэ
бириэмийэтин,бириэмийэ
бириэмийэттэн,бириэмийэ
бириэмийэтэ,бириэмийэ
бириэмийэҕэ,бириэмийэ
бичиги,бичик
бичигим,бичик
бичигин,бичик
бичигэ,бичик
бичиккэ,бичик
бичикпит,бичик
бичиктэн,бичик
бичиктэр,бичик
бичиктэрбит,бичик
бичиктэрбитин,бичик
бичиктэргэ,бичик
бичиктэрдээх,бичик
бичиктэрдээхxэ,бичик
бичиктэри,бичик
бичиктэрим,бичик
бичиктэрин,бичик
бичиктэртэн,бичик
бичиктэрэ,бичик
бичиктээх,бичик
бичиктээхтэргэ,бичик
бобуубут,бобуу
бобууга,бобуу
бобуулаах,бобуу
бобуулаахтарга,бобуу
бобуулар,бобуу
бобуулара,бобуу
бобууларбыт,бобуу
бобууларбытын,бобуу
бобууларга,бобуу
бобуулардаах,бобуу
бобуулардаахxа,бобуу
бобуулартан,бобуу
бобуулары,бобуу
бобууларым,бобуу
бобууларын,бобуу
бобуум,бобуу
бобууну,бобуу
бобуута,бобуу
бобууттан,бобуу
бобуутун,бобуу
болҕомтобут,болҕомто
болҕомтолоох,болҕомто
болҕомтолоохторго,болҕомто
болҕомтолор,болҕомто
болҕомтолорбут,болҕомто
болҕомтолорбутун,болҕомто
болҕомтолорго,болҕомто
болҕомтолордоох,болҕомто
болҕомтолордоохxо,болҕомто
болҕомтолоро,болҕомто
болҕомтолортон,болҕомто
болҕомтолору,болҕомто
болҕомтолорум,болҕомто
болҕомтолорун,болҕомто
болҕомтом,болҕомто
болҕомтону,болҕомто
болҕомтото,болҕомто
болҕомтоттон,болҕомто
болҕомтотун,болҕомто
болҕомтоҕо,болҕомто
боппуруоска,боппуруос
боппуруоспут,боппуруос
боппуруостаах,боппуруос
боппуруостаахтарга,боппуруос
боппуруостан,боппуруос
боппуруостар,боппуруос
боппуруостара,боппуруос
боппуруостарбыт,боппуруос
боппуруостарбытын,боппуруос
боппуруостарга,боппуруос
боппуруостардаах,боппуруос
боппуруостардаахxа,боппуруос
боппуруостартан,боппуруос
боппуруостары,боппуруос
боппуруостарым,боппуруос
боппуруостарын,боппуруос
боппуруоһа,боппуруос
боппуруоһу,боппуруос
боппуруоһум,боппуруос
боппуруоһун,боппуруос
буруйа,буруй
буруйбут,буруй
буруйга,буруй
буруйдаах,буруй
буруйдаахтарга,буруй
буруйдар,буруй
буруйдара,буруй
буруйдарбыт,буруй
буруйдарбытын,буруй
буруйдарга,буруй
буруйдардаах,буруй
буруйдардаахxа,буруй
буруйдартан,буруй
буруйдары,буруй
буруйдарым,буруй
буруйдарын,буруй
буруйтан,буруй
буруйу,буруй
буруйум,буруй
буруйун,буруй
быыбара,быыбар
быыбарбыт,быыбар
быыбарга,быыбар
быыбардаах,быыбар
быыбардаахтарга,быыбар
быыбардар,быыбар
быыбардара,быыбар
быыбардарбыт,быыбар
быыбардарбытын,быыбар
быыбардарга,быыбар
быыбардардаах,быыбар
быыбардардаахxа,быыбар
быыбардартан,быыбар
быыбардары,быыбар
быыбардарым,быыбар
быыбардарын,быыбар
быыбартан,быыбар
быыбары,быыбар
быыбарым,быыбар
быыбарын,быыбар
быһыыбыт,быһыы
быһыыга,быһыы
быһыылаах,быһыы
быһыылаахтарга,быһыы
быһыылар,быһыы
быһыылара,быһыы
быһыыларбыт,быһыы
быһыыларбытын,быһыы
быһыыларга,быһыы
быһыылардаах,быһыы
быһыылардаахxа,быһыы
быһыылартан,быһыы
быһыылары,быһыы
быһыыларым,быһыы
быһыыларын,быһыы
быһыым,быһыы
быһыыны,быһыы
быһыыта,быһыы
быһыыттан,быһыы
быһыытын,быһыы
бэлиитиги,бэлиитик
бэлиитигим,бэлиитик
бэлиитигин,бэлиитик
бэлиитигэ,бэлиитик
бэлиитиккэ,бэлиитик
бэлиитикпит,бэлиитик
бэлиитиктэн,бэлиитик
бэлиитиктэр,бэлиитик
бэлиитиктэрбит,бэлиитик
бэлиитиктэрбитин,бэлиитик
бэлиитиктэргэ,бэлиитик
бэлиитиктэрдээх,бэлиитик
бэлиитиктэрдээхxэ,бэлиитик
бэлиитиктэри,бэлиитик
бэлиитиктэрим,бэлиитик
бэлиитиктэрин,бэлиитик
бэлиитиктэртэн,бэлиитик
бэлиитиктэрэ,бэлиитик
бэлиитиктээх,бэлиитик
бэлиитиктээхтэргэ,бэлиитик
бэлиэбит,бэлиэ
бэлиэлэр,бэлиэ
бэлиэлэрбит,бэлиэ
бэлиэлэрбитин,бэлиэ
бэлиэлэргэ,бэлиэ
бэлиэлэрдээх,бэлиэ
бэлиэлэрдээхxэ,бэлиэ
бэлиэлэри,бэлиэ
бэлиэлэрим,бэлиэ
бэлиэлэрин,бэлиэ
бэлиэлэртэн,бэлиэ
бэлиэлэрэ,бэлиэ
бэлиэлээх,бэлиэ
бэлиэлээхтэргэ,бэлиэ
бэлиэм,бэлиэ
бэлиэни,бэлиэ
бэлиэтин,бэлиэ
бэлиэттэн,бэлиэ
бэлиэтэ,бэлиэ
бэлиэҕэ,бэлиэ
бэрээдэги,бэрээдэк
бэрээдэгим,бэрээдэк
бэрээдэгин,бэрээдэк
бэрээдэгэ,бэрээдэк
бэрээдэккэ,бэрээдэк
бэрээдэкпит,бэрээдэк
бэрээдэктэн,бэрээдэк
бэрээдэктэр,бэрээдэк
бэрээдэктэрбит,бэрээдэк
бэрээдэктэрбитин,бэрээдэк
бэрээдэктэргэ,бэрээдэк
бэрээдэктэрдээх,бэрээдэк
бэрээдэктэрдээхxэ,бэрээдэк
бэрээдэктэри,бэрээдэк
бэрээдэктэрим,бэрээдэк
бэрээдэктэрин,бэрээдэк
бэрээдэктэртэн,бэрээдэк
бэрээдэктэрэ,бэрээдэк
бэрээдэктээх,бэрээдэк
бэрээдэктээхтэргэ,бэрээдэк
бэчээккэ,бэчээт
бэчээппит,бэчээт
бэчээти,бэчээт
бэчээтим,бэчээт
бэчээтин,бэчээт
бэчээттэн,бэчээт
бэчээттэр,бэчээт
бэчээттэрбит,бэчээт
бэчээттэрбитин,бэчээт
бэчээттэргэ,бэчээт
бэчээттэрдээх,бэчээт
бэчээттэрдээхxэ,бэчээт
бэчээттэри,бэчээт
бэчээттэрим,бэчээт
бэчээттэрин,бэчээт
бэчээттэртэн,бэчээт
бэчээттэрэ,бэчээт
бэчээттээх,бэчээт
бэчээттээхтэргэ,бэчээт
бэчээтэ,бэчээт
бөлөхxө,бөлөх
бөлөхпүт,бөлөх
бөлөхтөн,бөлөх
бөлөхтөр,бөлөх
бөлөхтөрбүт,бөлөх
бөлөхтөрбүтүн,бөлөх
бөлөхтөргө,бөлөх
бөлөхтөрдөөх,бөлөх
бөлөхтөрдөөхxө,бөлөх
бөлөхтөртөн,бөлөх
бөлөхтөрү,бөлөх
бөлөхтөрүм,бөлөх
бөлөхтөрө,бөлөх
бөлөхтөрөн,бөлөх
бөлөхтөөх,бөлөх
бөлөхтөөхтөргө,бөлөх
бөлөҕү,бөлөх
бөлөҕүм,бөлөх
бөлөҕө,бөлөх
бөлөҕөн,бөлөх
депутакка,депутат
депутаппыт,депутат
депутата,депутат
депутаттаах,депутат
депутаттаахтарга,депутат
депутаттан,депутат
депутаттар,депутат
депутаттара,депутат
депутаттарбыт,депутат
депутаттарбытын,депутат
депутаттарга,депутат
депутаттардаах,депутат
депутаттардаахxа,депутат
депутаттартан,депутат
депутаттары,депутат
депутаттарым,депутат
депутаттарын,депутат
депутаты,депутат
депутатым,депутат
депутатын,депутат
дойдубут,дойду
дойдуга,дойду
дойдулаах,дойду
дойдулаахтарга,дойду
дойдулар,дойду
дойдулара,дойду
дойдуларбыт,дойду
дойдуларбытын,дойду
дойдуларга,дойду
дойдулардаах,дойду
дойдулардаахxа,дойду
дойдулартан,дойду
дойдулары,дойду
дойдуларым,дойду
дойдуларын,дойду
дойдум,дойду
дойдуну,дойду
дойдута,дойду
дойдуттан,дойду
дойдутун,дойду
доруобуйабыт,доруобуйа
доруобуйалаах,доруобуйа
доруобуйалаахтарга,доруобуйа
доруобуйалар,доруобуйа
доруобуйалара,доруобуйа
доруобуйаларбыт,доруобуйа
доруобуйаларбытын,доруобуйа
доруобуйаларга,доруобуйа
доруобуйалардаах,доруобуйа
доруобуйалардаахxа,доруобуйа
доруобуйалартан,доруобуйа
доруобуйалары,доруобуйа
доруобуйаларым,доруобуйа
доруобуйаларын,доруобуйа
доруобуйам,доруобуйа
доруобуйаны,доруобуйа
доруобуйата,доруобуйа
доруобуйаттан,доруобуйа
доруобуйатын,доруобуйа
доруобуйаҕа,доруобуйа
дьахталлар,дьахтар
дьахталлара,дьахтар
дьахталларбыт,дьахтар
дьахталларбытын,дьахтар
дьахталларга,дьахтар
дьахталлардаах,дьахтар
дьахталлардаахxа,дьахтар
дьахталлартан,дьахтар
дьахталлары,дьахтар
дьахталларым,дьахтар
дьахталларын,дьахтар
дьахтара,дьахтар
дьахтарбыт,дьахтар
дьахтарга,дьахтар
дьахтардаах,дьахтар
дьахтардаахтарга,дьахтар
дьахтартан,дьахтар
дьахтары,дьахтар
дьахтарым,дьахтар
дьахтарын,дьахтар
дьаһала,дьаһал
дьаһалбыт,дьаһал
дьаһалга,дьаһал
дьаһаллаах,дьаһал
дьаһаллаахтарга,дьаһал
дьаһаллар,дьаһал
дьаһаллара,дьаһал
дьаһалларбыт,дьаһал
дьаһалларбытын,дьаһал
дьаһалларга,дьаһал
дьаһаллардаах,дьаһал
дьаһаллардаахxа,дьаһал
дьаһаллартан,дьаһал
дьаһаллары,дьаһал
дьаһалларым,дьаһал
дьаһалларын,дьаһал
дьаһалтан,дьаһал
дьаһалы,дьаһал
дьаһалым,дьаһал
дьаһалын,дьаһал
дьиктибит,дьикти
дьиктигэ,дьикти
дьиктилэр,дьикти
дьиктилэрбит,дьикти
дьиктилэрбитин,дьикти
дьиктилэргэ,дьикти
дьиктилэрдээх,дьикти
дьиктилэрдээхxэ,дьикти
дьиктилэри,дьикти
дьиктилэрим,дьикти
дьиктилэрин,дьикти
дьиктилэртэн,дьикти
дьиктилэрэ,дьикти
дьиктилээх,дьикти
дьиктилээхтэргэ,дьикти
дьиктим,дьикти
дьиктини,дьикти
дьиктитин,дьикти
дьиктиттэн,дьикти
дьиктитэ,дьикти
дьиэбит,дьиэ
дьиэлэр,дьиэ
дьиэлэрбит,дьиэ
дьиэлэрбитин,дьиэ
дьиэлэргэ,дьиэ
дьиэлэрдээх,дьиэ
дьиэлэрдээхxэ,дьиэ
дьиэлэри,дьиэ
дьиэлэрим,дьиэ
дьиэлэрин,дьиэ
дьиэлэртэн,дьиэ
дьиэлэрэ,дьиэ
дьиэлээх,дьиэ
дьиэлээхтэргэ,дьиэ
дьиэм,дьиэ
дьиэни,дьиэ
дьиэтин,дьиэ
дьиэттэн,дьиэ
дьиэтэ,дьиэ
дьиэҕэ,дьиэ
дьиҥи,дьиҥ
дьиҥим,дьиҥ
дьиҥин,дьиҥ
дьиҥнэр,дьиҥ
дьиҥнэрбит,дьиҥ
дьиҥнэрбитин,дьиҥ
дьиҥнэргэ,дьиҥ
дьиҥнэрдээх,дьиҥ
дьиҥнэрдээхxэ,дьиҥ
дьиҥнэри,дьиҥ
дьиҥнэрим,дьиҥ
дьиҥнэрин,дьиҥ
дьиҥнэртэн,дьиҥ
дьиҥнэрэ,дьиҥ
дьиҥнээх,дьиҥ
дьиҥнээхтэргэ,дьиҥ
дьиҥтэн,дьиҥ
дьиҥэ,дьиҥ
дьиҥҥит,дьиҥ
дьиҥҥэ,дьиҥ
дьыалабыт,дьыала
дьыалалаах,дьыала
дьыалалаахтарга,дьыала
дьыалалар,дьыала
дьыалалара,дьыала
дьыалаларбыт,дьыала
дьыалаларбытын,дьыала
дьыалаларга,дьыала
дьыалалардаах,дьыала
дьыалалардаахxа,дьыала
дьыалалартан,дьыала
дьыалалары,дьыала
дьыалаларым,дьыала
дьыалаларын,дьыала
дьыалам,дьыала
дьыаланы,дьыала
дьыалата,дьыала
дьыалаттан,дьыала
дьыалатын,дьыала
дьыалаҕа,дьыала
идэбит,идэ
идэлэр,идэ
идэлэрбит,идэ
идэлэрбитин,идэ
идэлэргэ,идэ
идэлэрдээх,идэ
идэлэрдээхxэ,идэ
идэлэри,идэ
идэлэрим,идэ
идэлэрин,идэ
идэлэртэн,идэ
идэлэрэ,идэ
идэлээх,идэ
идэлээхтэргэ,идэ
идэм,идэ
идэни,идэ
идэтин,идэ
идэттэн,идэ
идэтэ,идэ
идэҕэ,идэ
иитиибит,иитии
иитиигэ,иитии
иитиилэр,иитии
иитиилэрбит,иитии
иитиилэрбитин,иитии
иитиилэргэ,иитии
иитиилэрдээх,иитии
иитиилэрдээхxэ,иитии
иитиилэри,иитии
иитиилэрим,иитии
иитиилэрин,иитии
иитиилэртэн,иитии
иитиилэрэ,иитии
иитиилээх,иитии
иитиилээхтэргэ,иитии
иитиим,иитии
иитиини,иитии
иитиитин,иитии
иитииттэн,иитии
иитиитэ,иитии
ийэбит,ийэ
ийэлэр,ийэ
ийэлэрбит,ийэ
ийэлэрбитин,ийэ
ийэлэргэ,ийэ
ийэлэрдээх,ийэ
ийэлэрдээхxэ,ийэ
ийэлэри,ийэ
ийэлэрим,ийэ
ийэлэрин,ийэ
ийэлэртэн,ийэ
ийэлэрэ,ийэ
ийэлээх,ийэ
ийэлээхтэргэ,ийэ
ийэм,ийэ
ийэни,ийэ
ийэтин,ийэ
ийэттэн,ийэ
ийэтэ,ийэ
ийэҕэ,ийэ
иккибит,икки
иккигэ,икки
иккилэр,икки
иккилэрбит,икки
иккилэрбитин,икки
иккилэргэ,икки
иккилэрдээх,икки
иккилэрдээхxэ,икки
иккилэри,икки
иккилэрим,икки
иккилэрин,икки
иккилэртэн,икки
иккилэрэ,икки
иккилээх,икки
иккилээхтэргэ,икки
икким,икки
иккини,икки
иккитин,икки
иккиттэн,икки
иккитэ,икки
испииһэги,испииһэк
испииһэгим,испииһэк
испииһэгин,испииһэк
испииһэгэ,испииһэк
испииһэккэ,испииһэк
испииһэкпит,испииһэк
испииһэктэн,испииһэк
испииһэктэр,испииһэк
испииһэктэрбит,испииһэк
испииһэктэрбитин,испииһэк
испииһэктэргэ,испииһэк
испииһэктэрдээх,испииһэк
испииһэктэрдээхxэ,испииһэк
испииһэктэри,испииһэк
испииһэктэрим,испииһэк
испииһэктэрин,испииһэк
испииһэктэртэн,испииһэк
испииһэктэрэ,испииһэк
испииһэктээх,испииһэк
испииһэктээхтэргэ,испииһэк
иччибит,иччи
иччигэ,иччи
иччилэр,иччи
иччилэрбит,иччи
иччилэрбитин,иччи
иччилэргэ,иччи
иччилэрдээх,иччи
иччилэрдээхxэ,иччи
иччилэри,иччи
иччилэрим,иччи
иччилэрин,иччи
иччилэртэн,иччи
иччилэрэ,иччи
иччилээх,иччи
иччилээхтэргэ,иччи
иччим,иччи
иччини,иччи
иччитин,иччи
иччиттэн,иччи
иччитэ,иччи
кииммит,киин
киини,киин
кииним,киин
киинин,киин
кииннэр,киин
кииннэрбит,киин
кииннэрбитин,киин
кииннэргэ,киин
кииннэрдээх,киин
кииннэрдээхxэ,киин
кииннэри,киин
кииннэрим,киин
кииннэрин,киин
кииннэртэн,киин
кииннэрэ,киин
кииннээх,киин
кииннээхтэргэ,киин
киинтэн,киин
киинэ,киин
киинэбит,киинэ
киинэлэр,киинэ
киинэлэрбит,киинэ
киинэлэрбитин,киинэ
киинэлэргэ,киинэ
киинэлэрдээх,киинэ
киинэлэрдээхxэ,киинэ
киинэлэри,киинэ
киинэлэрим,киинэ
киинэлэрин,киинэ
киинэлэртэн,киинэ
киинэлэрэ,киинэ
киинэлээх,киинэ
киинэлээхтэргэ,киинэ
киинэм,киинэ
киинэни,киинэ
киинэтин,киинэ
киинэттэн,киинэ
киинэтэ,киинэ
киинэҕэ,киинэ
кииҥҥэ,киин
кинибит,кини
кинигэ,кини
кинигэбит,кинигэ
кинигэлэр,кинигэ
кинигэлэрбит,кинигэ
кинигэлэрбитин,кинигэ
кинигэлэргэ,кинигэ
кинигэлэрдээх,кинигэ
кинигэлэрдээхxэ,кинигэ
кинигэлэри,кинигэ
кинигэлэрим,кинигэ
кинигэлэрин,кинигэ
кинигэлэртэн,кинигэ
кинигэлэрэ,кинигэ
кинигэлээх,кинигэ
кинигэлээхтэргэ,кинигэ
кинигэм,кинигэ
кинигэни,кинигэ
кинигэтин,кинигэ
кинигэттэн,кинигэ
кинигэтэ,кинигэ
кинигэҕэ,кинигэ
кинилэр,кини
кинилэрбит,кини
кинилэрбитин,кини
кинилэргэ,кини
кинилэрдээх,кини
кинилэрдээхxэ,кини
кинилэри,кини
кинилэрим,кини
кинилэрин,кини
кинилэртэн,кини
кинилэрэ,кини
кинилээх,кини
кинилээхтэргэ,кини
киним,кини
кинини,кини
кинитин,кини
киниттэн,кини
кинитэ,кини
киэһэбит,киэһэ
киэһэлэр,киэһэ
киэһэлэрбит,киэһэ
киэһэлэрбитин,киэһэ
киэһэлэргэ,киэһэ
киэһэлэрдээх,киэһэ
киэһэлэрдээхxэ,киэһэ
киэһэлэри,киэһэ
киэһэлэрим,киэһэ
киэһэлэрин,киэһэ
киэһэлэртэн,киэһэ
киэһэлэрэ,киэһэ
киэһэлээх,киэһэ
киэһэлээхтэргэ,киэһэ
киэһэм,киэһэ
киэһэни,киэһэ
киэһэтин,киэһэ
киэһэттэн,киэһэ
киэһэтэ,киэһэ
киэһэҕэ,киэһэ
киһибит,киһи
киһигэ,киһи
киһилэр,киһи
киһилэрбит,киһи
киһилэрбитин,киһи
киһилэргэ,киһи
киһилэрдээх,киһи
киһилэрдээхxэ,киһи
киһилэри,киһи
киһилэрим,киһи
киһилэрин,киһи
киһилэртэн,киһи
киһилэрэ,киһи
киһилээх,киһи
киһилээхтэргэ,киһи
киһим,киһи
киһини,киһи
киһитин,киһи
киһиттэн,киһи
киһитэ,киһи
кулуммут,кулун
кулуна,кулун
кулуннаах,кулун
кулуннаахтарга,кулун
кулуннар,кулун
кулуннара,кулун
кулуннарбыт,кулун
кулуннарбытын,кулун
кулуннарга,кулун
кулуннардаах,кулун
кулуннардаахxа,кулун
кулуннартан,кулун
кулуннары,кулун
кулуннарым,кулун
кулуннарын,кулун
кулунтан,кулун
кулуну,кулун
кулунум,кулун
кулунун,кулун
кулуҥҥа,кулун
куобут,куо
куолаах,куо
куолаахтарга,куо
куолар,куо
куолара,куо
куоларбыт,куо
куоларбытын,куо
куоларга,куо
куолардаах,куо
куолардаахxа,куо
куолартан,куо
куолары,куо
куоларым,куо
куоларын,куо
куом,куо
куонкуруска,куонкурус
куонкуруспут,куонкурус
куонкурустаах,куонкурус
куонкурустаахтарга,куонкурус
куонкурустан,куонкурус
куонкурустар,куонкурус
куонкурустара,куонкурус
куонкурустарбыт,куонкурус
куонкурустарбытын,куонкурус
куонкурустарга,куонкурус
куонкурустардаах,куонкурус
куонкурустардаахxа,куонкурус
куонкурустартан,куонкурус
куонкурустары,куонкурус
куонкурустарым,куонкурус
куонкурустарын,куонкурус
куонкуруһа,куонкурус
куонкуруһу,куонкурус
куонкуруһум,куонкурус
куонкуруһун,куонкурус
куону,куо
куоракка,куорат
куораппыт,куорат
куората,куорат
куораттаах,куорат
куораттаахтарга,куорат
куораттан,куорат
куораттар,куорат
куораттара,куорат
куораттарбыт,куорат
куораттарбытын,куорат
куораттарга,куорат
куораттардаах,куорат
куораттардаахxа,куорат
куораттартан,куорат
куораттары,куорат
куораттарым,куорат
куораттарын,куорат
куораты,куорат
куоратым,куорат
куоратын,куорат
куота,куо
куоттан,куо
куотун,куо
куоҕа,куо
кыайыыбыт,кыайыы
кыайыыга,кыайыы
кыайыылаах,кыайыы
кыайыылаахтарга,кыайыы
кыайыылар,кыайыы
кыайыылара,кыайыы
кыайыыларбыт,кыайыы
кыайыыларбытын,кыайыы
кыайыыларга,кыайыы
кыайыылардаах,кыайыы
кыайыылардаахxа,кыайыы
кыайыылартан,кыайыы
кыайыылары,кыайыы
кыайыыларым,кыайыы
кыайыыларын,кыайыы
кыайыым,кыайыы
кыайыыны,кыайыы
кыайыыта,кыайыы
кыайыыттан,кыайыы
кыайыытын,кыайыы
кыахxа,кыах
кыахпыт,кыах
кыахтаах,кыах
кыахтаахтарга,кыах
кыахтан,кыах
кыахтар,кыах
кыахтара,кыах
кыахтарбыт,кыах
кыахтарбытын,кыах
кыахтарга,кыах
кыахтардаах,кыах
кыахтардаахxа,кыах
кыахтартан,кыах
кыахтары,кыах
кыахтарым,кыах
кыахтарын,кыах
кыаҕа,кыах
кыаҕы,кыах
кыаҕым,кыах
кыаҕын,кыах
кылааска,кылаас
