wordform,occurence
аармыйаҕа,65
аарон,1
аарсар,1
аарт,1
аартаах,1
аартаста,1
аартаһа,1
аартаһан,2
аартыга,7
аартыгар,7
аартыгы,11
аартыгын,16
аартыгынан,26
аартык,63
аартыкка,2
аартыкпын,2
аартыктаах,3
аартыктан,1
аартыктар,10
аартыктара,1
аартыктарга,2
аартыктары,12
аартыктарын,4
аары,1
аарыгар,1
аарыгыран,4
аарыгырбыт,4
аарыктаах,4
аарыктааҕа,4
аарыллар,4
аарыллыан,1
аарыллыахтаахтар,1
аарыллыбыттара,1
аарылынна,1
аарыма,18
аарын,1
аарынай,1
аарынар,1
аарыы,4
аарыылаах,2
аарыылара,1
аарыылары,1
аарыыларын,1
аарыыларынан,1
аарыынан,1
аарыыны,2
аарыыта,4
аарыытын,1
аарыытынан,3
аас,28
ааскы,1
ааспакка,8
ааспат,24
ааспатах,2
ааспатаҕа,1
ааспатаҕай,1
ааспатаҕын,2
ааспаттар,2
ааспыкка,2
ааспыппыт,1
ааспыппыттан,1
ааспыт,638
ааспыта,53
ааспытай,2
ааспыттаах,1
ааспыттааҕа,3
ааспыттар,12
ааспыттара,44
ааспыттарын,3
ааспыты,9
ааспытыгар,4
ааспытым,3
ааспытын,49
ааспытынан,1
ааспытыҥ,1
ааста,151
аастаах,1
аастар,11
аастаргын,1
аастардаах,2
аастардаахтар,1
аастарыттан,1
аастахпытына,1
аастахтара,1
аастахха,1
аастаххытына,1
аастаҕа,9
аастаҕын,4
аастаҕына,17
аастпыта,1
аастпыттар,1
аастыбыт,3
аастыйбыт,8
аастылар,38
аастым,4
аастын,1
аастыҥ,1
аастэллэххэ,1
аат,236
аата,528
аатаабыттара,1
аатааммыта,1
аатаарабытый,1
аатай,3
аатаммыт,1
аатаммыта,1
аатара,1
аатарын,1
аатаҕына,1
аатка,1
аатлаһы,1
ааттаа,4
ааттаабакка,2
ааттаабатаҕа,4
ааттаабатым,1
ааттаабыккын,2
ааттаабыт,6
ааттаабыта,7
ааттаабыттар,11
ааттаабыттара,9
ааттаабыттарын,1
ааттаабытым,2
ааттаабытынан,1
ааттааман,1
ааттаамыта,1
ааттаан,69
ааттаата,5
ааттаатыбыт,1
ааттаатылар,2
ааттаах,171
ааттаахпыт,1
ааттаахтар,4
ааттаахтара,8
ааттаахтары,5
ааттаахтарын,2
ааттаахха,4
ааттааҕа,11
ааттааҕар,2
ааттааһын,1
ааттааһынатна,1
ааттал,1
ааттала,1
аатталын,4
ааттаммат,2
ааттамматаҕын,2
ааттаммыппыт,1
ааттаммыт,44
ааттаммыта,47
ааттаммытай,2
ааттаммытара,1
ааттаммыттан,1
ааттаммыттар,1
ааттаммыттара,8
ааттаммытын,2
ааттамыттара,1
ааттан,3
ааттана,2
ааттаналлар,7
ааттаналлара,3
ааттаналларын,1
ааттанан,18
ааттанар,52
ааттанара,6
ааттанарын,4
ааттанарынан,1
ааттанна,31
ааттаннылар,6
ааттаныа,1
ааттаныаҕа,2
ааттаныллыбыт,1
ааттаныы,1
ааттаппыт,1
ааттар,19
ааттара,51
ааттарга,6
ааттардаах,1
ааттары,7
ааттарыгар,4
ааттарын,49
ааттарынан,33
ааттарыттан,13
ааттас,1
ааттаспыт,1
ааттаспытын,1
ааттаталаа,2
ааттаталаабыт,1
ааттаталлар,2
ааттатан,2
ааттатар,2
ааттатарга,1
ааттаттылар,1
ааттатыа,1
ааттатыахатара,1
ааттатыахтарын,1
ааттатылаа,1
ааттах,1
ааттаһа,1
ааттаһабын,4
ааттаһан,9
ааттаһар,2
ааттаһыахха,1
ааттаһыннарбатах,4
ааттаһыы,1
ааттыахтара,6
ааттыахтарын,2
ааттыахха,6
ааттыйбыт,1
ааттыллара,1
ааттынан,2
ааттыттан,1
ааттыы,3
ааттыыбын,2
ааттыыбыт,3
ааттыыгыт,1
ааттыылар,1
ааттыыллар,85
ааттыыллара,29
ааттыылларый,3
ааттыылларын,1
ааттыын,2
ааттыыр,32
ааттыыра,1
ааттыырга,4
ааттыырдыы,4
аатунан,1
ааты,81
аатыаха,1
аатыгар,40
аатым,8
аатын,236
аатынан,644
аатыннан,3
аатыра,2
аатыраллар,1
аатыралларын,1
аатыран,14
аатырар,21
аатырара,1
аатырарын,1
аатыраҕын,2
аатырбын,1
аатырбыт,161
аатырбыта,6
аатырбытай,4
аатырбыттар,1
аатырбытын,1
аатырбытыҥ,2
аатырда,3
аатырдан,2
аатырдар,3
аатырдаҕа,1
аатырдыаҕыҥ,1
аатырдыбыт,3
аатырдыытын,2
аатырпыта,2
аатырыа,1
аатырыай,1
аатырыам,2
аатырыан,4
аатырыахтара,4
аатырыахтарын,1
аатырыаххын,2
аатырыт,1
аатыттан,88
аатыыллар,1
аатыыта,1
аатыҥ,9
аауо,1
аах,24
аахайбакка,8
аахайбаппын,1
аахайбат,3
аахайбатахтык,1
аахайбатахтыы,2
аахайбатаҕа,4
аахайбаттар,1
аахайбаттык,5
аахайыа,1
аахпакка,2
аахпаккыт,1
аахпаппын,5
аахпат,14
аахпатах,1
аахпатахха,5
аахпатаҕым,1
аахпатаҕын,1
аахпаттар,3
аахпатылар,2
аахпахтыыр,1
аахпахха,1
аахпыккыный,1
аахпыппын,1
аахпыппыт,1
аахпыт,15
аахпыта,12
аахпыттаахпын,1
аахпыттааҕым,1
аахпыттар,1
аахпытым,10
аахпытын,2
аахпытыттан,1
аахпытыҥ,2
аахсаана,1
аахсааныттан,1
аахсаллар,1
аахсаллара,5
аахсан,2
аахсар,17
аахсаҕын,1
аахсыа,2
аахсыахпыт,2
аахсыахтарын,1
аахсыахха,1
аахсыбакка,10
аахсыбат,7
аахсыбатахтарына,1
аахсыбаттар,1
аахсыйа,103
аахсыйабыт,3
аахсыйалаахтар,1
аахсыйалаахтара,1
аахсыйалар,8
аахсыйалара,1
аахсыйаларга,2
аахсыйалары,4
аахсыйаларын,1
аахсыйаларынан,1
аахсыйанан,1
аахсыйаны,16
аахсыйаныы,1
аахсыйата,7
аахсыйатыгар,7
аахсыйатын,4
аахсыйатынан,1
аахсыйаҕа,57
аахсыллыбат,2
аахсыма,2
аахсымаҥ,1
аахсыы,2
аахсыытыгар,1
аахсыытынан,1
аахсыһыннарбат,2
аахта,2
аахтаахха,1
аахтабын,1
аахтан,1
аахтар,2
аахтара,1
аахтараллар,1
аахтаран,1
аахтараҥҥыт,1
аахтарбын,1
аахтарбыт,1
аахтарбыта,2
аахтарыам,1
аахтарыахтарын,1
аахтарын,1
аахтахпына,3
аахтахтарына,1
аахтахха,14
аахтаҕына,5
аахтаҕыҥ,1
аахтыбыт,1
аахтылар,7
аахтын,1
аахтыннар,2
аахтыҥ,1
аахха,8
ааччы,4
ааччыга,1
ааччылар,1
ааччыларыгар,1
ааччыларын,4
ааччыларынан,1
ааччыта,1
ааҕа,33
ааҕаа,2
ааҕаар,2
ааҕаары,1
ааҕаат,1
ааҕааччы,12
ааҕааччыга,3
ааҕааччылаах,3
ааҕааччылар,11
ааҕааччыларбар,1
ааҕааччыларбыт,1
ааҕааччыларбытыгар,10
ааҕааччыларбытын,4
ааҕааччыларга,6
ааҕааччылары,1
ааҕааччыларыгар,2
ааҕааччыларым,1
ааҕааччыларын,3
ааҕааччыларыҥ,1
ааҕааччым,4
ааҕааччыта,2
ааҕабын,24
ааҕабыт,6
ааҕалар,1
ааҕаллар,15
ааҕаллара,5
ааҕалларыгар,3
ааҕалларын,3
ааҕалларынан,1
ааҕалларыттан,1
ааҕан,64
ааҕар,90
ааҕара,8
ааҕараг,2
ааҕарбар,4
ааҕарбын,20
ааҕарбыт,4
ааҕарбытыгар,1
ааҕарбытын,1
ааҕарбытынан,1
ааҕарга,33
ааҕаргар,2
ааҕаргын,1
ааҕаргытыгар,1
ааҕаргытын,2
ааҕаргытыттан,1
ааҕартан,1
ааҕарыгар,2
ааҕарый,1
ааҕарым,3
ааҕарын,10
ааҕарынан,1
ааҕаҕын,7
ааҕаҕыный,1
ааҕаҕыт,1
ааҕаҕытый,1
ааҕы,3
ааҕыа,1
ааҕыам,4
ааҕыан,1
ааҕыахпар,1
ааҕыахтаах,1
ааҕыахтаахпыт,1
ааҕыахтааҕар,2
ааҕыахтара,5
ааҕыахтарын,1
ааҕыахха,8
ааҕыаххын,5
ааҕыаххыт,4
ааҕылла,4
ааҕыллаллар,6
ааҕыллан,5
ааҕыллар,78
ааҕыллара,9
ааҕылларый,2
ааҕылларын,2
ааҕыллаҕын,1
ааҕыллыа,3
ааҕыллыан,1
ааҕыллыахтара,1
ааҕыллыаҕа,4
ааҕыллыбат,7
ааҕыллыбыт,16
ааҕыллыбыта,1
ааҕыллыбыттар,1
ааҕыллыыта,1
ааҕыллыытын,1
ааҕылынна,5
ааҕылыннаҕына,1
ааҕылыннылар,2
ааҕымаҥ,1
ааҕыммаппын,1
ааҕыммыта,1
ааҕын,1
ааҕынааччы,1
ааҕынабын,1
ааҕыналларын,1
ааҕынан,6
ааҕынаннар,1
ааҕынар,1
ааҕынара,1
ааҕыныахха,1
ааҕыныстыба,30
ааҕыныстыбалар,2
ааҕыныстыбалара,3
ааҕыныстыбаларын,2
ааҕыныстыбаны,1
ааҕыныстыбата,8
ааҕыныстыбаттан,1
ааҕыныстыбатыгар,5
ааҕыныстыбатын,18
ааҕыныстыбатыттан,1
ааҕыныстыбаҕа,9
ааҕыныы,2
ааҕыс,3
ааҕыста,4
ааҕыстахха,4
ааҕытыгар,1
ааҕыы,39
ааҕыыбытынан,1
ааҕыыга,26
ааҕыылар,1
ааҕыыларга,5
ааҕыылартан,1
ааҕыыларынан,2
ааҕыыллар,1
ааҕыынан,7
ааҕыыннан,1
ааҕыыны,12
ааҕыыта,3
ааҕыытыгар,4
ааҕыытын,3
ааҕыҥ,16
ааҥ,3
ааҥл,20
ааҥллар,2
ааҥллара,1
ааҥллыы,14
ааҥнаабыт,5
ааҥнаабыта,1
ааҥнаабытын,4
ааҥнаан,6
ааҥнаатахпытына,2
ааҥныыр,2
ааҥыл,2
ааҥыллар,1
ааҥылларбыт,1
ааҥылыйа,1
ааҥҥа,13
ааҥҥы,1
ааҥҥын,1
ааһа,29
ааһааллар,1
ааһаары,5
ааһааччы,2
ааһабын,3
ааһабыт,1
ааһаллар,31
ааһаллара,4
ааһалларыгар,6
ааһаммын,3
ааһан,154
ааһаннар,8
ааһар,179
ааһара,18
ааһарага,1
ааһарбыт,1
ааһарга,4
ааһардан,1
ааһарыгар,12
ааһарый,2
ааһарым,1
ааһарын,20
ааһаҕын,1
ааһы,1
ааһыа,13
ааһыам,3
ааһыан,7
ааһыах,2
ааһыахпыт,4
ааһыахтаах,9
ааһыахтааххыт,1
ааһыахтааҕын,2
ааһыахтара,20
ааһыахтараа,1
ааһыахтарын,3
ааһыахха,8
ааһыаххын,2
ааһыаҕа,30
ааһыаҕай,1
ааһыаҕын,1
ааһыллар,1
ааһын,1
ааһынар,2
ааһыныы,2
ааһыр,1
ааһыталаабыт,1
ааһыталаабыттара,4
ааһыталаабытым,1
ааһыталыыр,4
ааһыы,6
ааһыыга,4
ааһыылара,1
ааһыыны,2
ааһыыта,6
ааһыытын,3
аба,9
абаа,7
абаабаҕа,1
абаай,1
абааьы,1
абааһы,104
абааһыга,1
абааһылаах,2
абааһылар,4
абааһылара,5
абааһыларга,1
абааһыларгын,1
абааһылары,1
абааһыларын,7
абааһыны,5
абааһыта,11
абааһыттан,2
абааһытын,2
абааһытынан,1
абабын,4
абабыттан,1
абаза,1
абазай,2
абай,1
абакаан,1
абакан,3
абаканвагонмаш,1
абакаров,2
абакаяда,1
абакаҥҥа,2
абаккабын,4
абаккабыт,1
абаккабытын,2
абаккарбыт,1
абаккатыгар,1
абаккатын,2
абалаах,23
абаланыыта,4
абалах,1
абам,1
абаоцзи,1
абаран,11
абарар,1
абарбыттыы,1
абарыы,1
абасгаджи,1
абата,5
абатыан,2
абатыйарын,2
абатыйбыт,1
абатын,15
абатыттан,1
абаҕа,27
абаҕаа,2
абаҕабыт,1
абаҕалаахпар,1
абаҕалара,6
абаҕаларын,2
абаҕам,18
абаҕан,6
абаҕантан,2
абаҕата,42
абаҕатааҕы,3
абаҕатыгар,3
абаҕатын,17
абаҕатыттан,1
абаҕаҕа,2
абаҕаҕын,2
абаҕаҕыт,2
абаҕаҥ,2
абаҕыыныскай,2
аббасид,1
аббатка,1
аббаттаа,1
аббревиатуратын,2
абдоминальнай,2
абдуллаев,1
абдулхаким,1
абдулхамид,1
абельмановка,1
аберова,1
абзалимов,1
абзац,1
абидуевич,1
абилимпикс,11
абилин,1
абилинский,1
абильманов,12
абитура,2
абитуриеннар,9
абитуриеннарга,4
абитуриеннары,4
абитуриеннарыгар,2
абитуриент,4
абитуриены,1
або,1
абонеменнары,1
абонемент,1
абонементнай,1
абонемены,1
абонемеҥҥа,2
абоненнар,2
абоненнара,2
абоненнарбытыгар,1
абонент,1
аборигеннар,1
аборигеннары,1
абразия,1
абрамов,7
абрамова,1
абрамович,2
абрамовы,1
абрамченко,1
абрамченкоаҕа,1
абрахов,1
абрикосы,1
абсолют,1
абсолютнай,7
абсолютной,1
абсолютный,2
абстрагироваться,1
абстрактнай,2
абстракция,1
абу,4
абубакр,2
абуевы,2
абукар,1
абхазия,4
абхазияны,3
абхазияҕа,1
абхазтыы,2
абхарата,1
абы,1
абыгар,1
абый,66
абыйакаан,32
абыйакаап,2
абыйга,16
абыйдааҕы,3
абыйыкаан,3
абыйыкааннааҕы,4
абылаабыта,1
абылатаҕын,1
абылаттахха,1
абылаттым,2
абылаҥар,4
абылаҥарылларбыт,1
абылыыр,3
абылыыра,2
абын,2
абыраа,4
абыраабат,2
абыраабатаххына,1
абыраабыт,3
абыраабыта,2
абыраам,6
абыраан,1
абырааҥ,1
абырал,3
абырала,2
абыраллаах,6
абыралы,2
абырамматыгыт,2
абыранабын,2
абыранара,2
абыранаҕын,2
абыранныбыт,1
абыранныҥ,3
абыраныаҥ,1
абырахаам,3
абырахтаан,4
абырыа,2
абырыай,1
абырыан,2
абырыаҕай,1
абырыы,1
абырыыбын,2
абырыыр,1
абырыырга,1
абыт,1
абытай,4
абытайа,4
абытайбын,2
абытайын,1
абьян,4
абэ,2
авалокитешвара,1
аванпост,1
аванс,1
аварии,1
аварийнай,22
авария,1
аварияҕа,1
аватар,2
авахампаанньа,1
аввакум,4
аввакумович,1
аввакуму,1
авг,1
августа,7
августе,1
авдеев,1
авдеева,3
авдодорожнай,1
авдолян,1
аверинскай,1
авиа,20
авиабилетов,1
авиабөлөҕө,1
авиакомпании,1
авиакомпания,3
авиакомпаниялар,1
авиакомпанията,1
авиалайнердары,1
авиалесоохрана,35
авиалесоохрананы,1
авиалесоохранаҕа,1
авиалесохрана,4
авиалини,1
авиалинии,22
авиалиния,1
авиалиниялар,7
авиалинияларга,1
авиаотделение,1
авиаохранатын,1
авиапарканы,1
авиаполкаҕа,1
авиапордугар,1
авиапорт,1
авиапредприятие,1
авиаракетная,1
авиаракетно,1
авиаракетнокосмическай,1
авиарейстара,1
авиастроения,1
авиатиэхиньикэлэри,1
авиатордар,2
авиахампаанньа,81
авиахампаанньабыт,1
авиахампаанньалар,4
авиахампаанньалары,1
авиахампаанньаларыгар,1
авиахампаанньаны,3
авиахампаанньатынан,1
авиахампаанньаҕа,1
авиахампааньалар,1
авиационнай,13
авиационная,1
авиация,26
авиацияларын,1
авиациянан,2
авиацияны,4
авиацията,5
авиациятыгар,1
авиациятын,8
авиациятыттаҥ,1
авиацияҕа,3
авиньон,1
авифавир,2
авксентий,1
авксентьевна,1
авласенок,1
авлуджа,1
авокадо,1
авра,2
авраамович,1
аврал,2
авралай,1
аврахаам,1
аврора,6
авроры,1
австралии,2
австралию,1
австралия,8
австралияҕа,1
австрийская,1
австрия,4
австриятааҕы,1
австрияҕа,2
австронезийской,1
автобазата,1
автобазатын,1
автобазаҕа,1
автобиографии,1
автобиографическэй,1
автобус,7
автобуска,2
автобустар,3
автобустарга,2
автобустары,1
автобуһу,2
автобуһун,1
автобуһунан,3
автобуһустара,1
автоваз,4
автовокзалыттан,1
автограф,1
автодор,5
автодорожнай,26
автодорожная,1
автодорожный,1
автоинспекцияттан,1
автоквест,1
автоколонна,1
автоколоннаҕа,1
автология,1
автолюбители,1
автолюбитель,2
автомаппын,1
автомат,4
автомата,1
автоматизации,1
автоматизация,1
автоматизациялааһын,1
автоматизированнай,5
автоматизированного,1
автоматизированную,1
автоматика,1
автоматиканы,1
автоматическай,6
автоматически,2
автоматтаах,1
автоматтары,2
автоматчик,1
автоматчиктар,2
автоматы,1
автомитизированнай,1
автомновнай,1
автомобилеи,1
автомобилестроения,1
автомобилистар,1
автомобиль,1
автомобильнай,2
автомобильные,1
автомодулятор,1
автомуоста,1
автоналивник,1
автонастройкаларын,1
автоно,2
автоном,6
автономию,1
автономия,3
автономиялаах,21
автономияны,2
автономията,1
автономиятын,3
автономнай,45
автономная,1
автономного,2
автономный,2
автопаарката,1
автопаркинг,2
автопробег,16
автопробега,1
автопробегка,2
автор,5
автора,10
авторам,1
автордара,2
автореферат,1
авторефкератометр,1
авторитарная,2
авторитарного,1
авторитарной,1
авторитет,2
авторитета,2
авторов,2
автором,1
авторскай,9
авторским,1
авторских,1
автору,1
авторы,3
авторын,1
автосервис,2
автосервиска,1
автострада,3
автостроение,1
автотрейд,1
автотрофтар,1
автоцистерна,2
автоцистерналар,1
автоцистерналарынан,1
агааттар,1
агааттара,1
агааттары,2
агаев,1
агалега,1
агалын,1
агапов,1
агас,1
агата,2
агатангел,3
агату,3
агафия,1
агафонов,1
агафонова,1
агафья,5
агглютинативнай,1
агдакатын,1
агдары,1
агеева,1
агееваҕа,1
агеевич,1
агена,1
агеннара,1
агеннары,1
агенство,2
агенстволара,1
агенстволарга,1
агенствоны,1
агенствота,2
агенствотын,1
агент,6
агента,1
агентство,12
агентствоны,2
агентствота,3
агентствотын,4
агзамовы,1
агиик,1
агики,3
агикии,2
агилера,1
агинский,1
агит,1
агитационными,1
агитация,2
агитацияны,1
агитка,1
агломерацией,1
агломераций,1
агломерация,1
агломерациялыын,2
агломерациятыгар,1
агломерациятын,1
агломерациятынан,1
агломерацияҕа,2
агния,1
агп,2
агранмыык,1
аграр,1
аграрийдара,2
аграрнай,8
аграфена,7
агрегаата,1
агрегакка,1
агрегат,1
агрегатордара,1
агрегаттарыгар,1
агрессии,1
агрессия,1
агрессор,5
агрикултуура,4
агрикултууралаах,1
агрикултууранан,1
агрикултуураны,1
агрикультура,1
агриппина,1
агро,11
агроинженернай,1
агрокластернай,1
агрокомплекс,3
агрокуб,1
агроном,8
агрооскуола,2
агрооскуолаларга,1
агропромышенноска,1
агропромышленнай,3
агропрофилированнай,1
агропрофильнай,1
агроснаб,1
агростартап,2
агротехниката,1
агротехническай,4
агротехническэй,2
агротехнологическай,9
агротехнологическэй,2
агроурбаан,1
агрохолдинг,1
агрохолдингтан,1
агунг,1
агуреев,6
агҕаа,3
адаар,5
адаардаах,2
адаархай,4
адаарыйа,2
адаарыйбыт,1
адаарыйбытынан,4
адаарытан,2
адаарыччы,1
адаарыҥнаһа,4
адаарыҥнаһар,4
адаарыһаллара,4
адаарыһан,1
адаг,2
адалҕа,1
адам,10
адамов,4
адамова,5
адамовский,1
адамс,2
адаптации,1
адаптацию,1
адаптациялара,1
адаптацияларыгар,1
адаптацияны,3
адаптердаах,2
адаптивнай,8
адаптивного,1
адаптивный,1
адарай,5
адасько,1
адаськоҕа,1
адах,1
адаҕа,3
адаҕыйан,6
адаҕыйда,2
адаҕыйдахпыт,2
адаҕыйыан,2
адбакаатынан,1
адвокад,1
адвокаппын,1
адвокат,12
адвоката,1
аддис,1
аделаида,2
аделина,1
аден,1
аденалин,2
аденовирус,6
аджарай,2
аджарияҕа,1
адильхан,1
администартивнай,1
администиративнай,1
административ,2
административнай,122
административный,1
административных,1
администратор,1
администратордар,1
администраций,1
администрация,2
администрациялаах,1
администрацияларынан,3
администрацията,6
администрациятыгар,2
администрациятын,3
администрациятынааҕар,2
администрациятыттан,1
администрирование,2
администртивнай,1
админстративнай,1
адмираала,1
адмирал,4
адмиралтейство,1
адо,2
адрес,3
адреса,1
адресных,1
адресованное,1
адриан,1
адриатик,2
адушкина,1
адф,1
адыаччы,1
адыаччыга,4
адыаччытыттан,1
адыг,1
адыгеец,1
адыгея,6
адыгеяттан,2
адыгеяҕа,1
адыгыраһан,1
адылҕа,4
адыр,2
адьарай,3
адьас,95
адьаһын,1
адьынат,1
адьынаттааҕа,4
адьыр,2
адьырыччы,4
адьырҕа,24
адьырҕаны,1
адьырҕаҕа,1
ажаев,1
ажарай,4
ажира,4
ажирай,2
аза,5
азаров,2
азарта,1
азартнай,3
азбука,1
азбуката,1
азерб,5
азербайджан,17
азербайджанец,1
азербайджанецтар,1
азербайджантан,3
азербайдьан,9
азербайдьанныын,2
азербайдьантан,1
азиа,1
азиатскай,8
азиатско,1
азиаттар,2
азии,9
азимут,3
азитромицин,3
азия,150
азияны,2
азиятааҕы,2
азияттан,3
азияҕ,1
азияҕа,30
азов,2
азот,8
азс,1
аида,5
аиза,4
аимынан,1
аина,10
аиночка,1
аис,2
аист,1
аита,2
аиһитиннэрэр,1
айа,18
айаа,2
айаадыр,14
айаадьыр,2
айаайа,1
айаал,25
айаала,1
айаан,9
айаана,10
айааннар,4
айаантан,1
айааны,1
айаар,1
айаас,4
айаатаабыт,4
айаатаан,7
айаатаата,4
айаатааһынын,2
айаатыа,1
айаатыахтаах,4
айаатыыр,1
айааччы,13
айааччылар,4
айааччылара,4
айааччыларын,2
айааччыларыттан,1
айааччыны,2
айааччыт,1
айааччыта,5
айааччытынан,1
айааҥҥа,3
айааһыан,1
айааһыы,1
айааһыыр,3
айаккабын,1
айаккалыыр,1
айал,2
айаллар,4
айаммыт,1
айан,445
айана,13
айанаабыт,1
айанаан,1
айанаатылар,1
айаннаа,2
айаннаабакка,1
айаннаабатах,2
айаннаабыппыт,1
айаннаабыт,10
айаннаабыта,8
айаннаабыттар,5
айаннаабыттара,9
айаннаабытым,1
айаннаабытынан,1
айаннаан,96
айаннааннар,4
айаннаары,2
айаннаата,5
айаннаатар,3
айаннаатахха,1
айаннаатаххытына,1
айаннаатылар,2
айаннаатын,1
айаннааччыларга,1
айаннааҥ,1
айаннааһын,2
айаннар,2
айаннара,2
айаннарбыттан,2
айаннарга,1
айаннарыгар,7
айаннарын,7
айаннатан,22
айанныа,1
айанныах,5
айанныахпыт,2
айанныахтаах,1
айанныахтара,6
айанныахха,2
айанныаҕа,5
айанныбыт,1
айанныы,1
айанныыбыт,1
айанныыгын,2
айанныыллар,5
айанныыллара,5
айанныылларыгар,1
айанныылларын,1
айанныыр,53
айанныыра,7
айанныырга,12
айанныыры,3
айанныырыгар,2
айанныырын,1
айанньыт,22
айанньыта,7
айанньыттар,48
айанньыттара,2
айанньыттарга,5
айанньыттары,1
айанньытын,1
айантан,26
айаны,37
айаныгар,1
айаным,1
айанын,13
айанынан,2
айаныыр,1
айар,197
айара,2
айарга,6
айары,1
айарым,1
айарын,3
айастаан,2
айат,1
айатын,8
айах,46
айахпар,3
айахпын,2
айахпынан,2
айахпытыгар,2
айахпытын,3
айахта,4
айахтаан,2
айахтаах,11
айахтаппыта,2
айахтар,4
айахтара,7
айахтары,4
айахтарыгар,1
айахтарын,10
айахтатта,4
айахтаттаҕа,2
айахтаттым,4
айахха,6
айаххын,2
айаххытын,1
айаыньыт,4
айаҕа,16
айаҕар,17
айаҕы,11
айаҕым,5
айаҕын,21
айаҕынан,5
айаҕыттан,7
айаҕытыгар,1
айаҥҥа,49
айбаккын,1
айбаккыт,1
айбек,1
айбыт,34
айбыта,17
айбытай,1
айбыттай,1
айбыттар,3
айбыттара,10
айбыттарын,1
айбытым,2
айбытын,1
айбытынан,1
айвори,1
айгер,2
айгуля,1
айгуляны,1
айгылаан,2
айгылаах,2
айгыр,4
айгыраабыта,4
айгыраабытын,1
айгыраан,1
айгыраппыт,2
айгыраппыттара,1
айгыратар,2
айгыратыа,4
айгыратыы,1
айгырыы,1
айгырыылларыгар,1
айгыста,4
айгыстан,4
айда,1
айдаа,1
айдааммытын,1
айдаан,64
айдаана,12
айдаанай,1
айдааннаах,2
айдааннана,1
айдааннар,1
айдааннара,1
айдааннарыгар,2
айдаантан,2
айдааны,14
айдааныгар,5
айдаанын,2
айдаанынан,4
айдааныттан,1
айдаара,3
айдааран,1
айдаарар,5
айдаарарбытын,1
айдаарбат,3
айдаарбытынан,2
айдаарсар,2
айдаарсыбыттара,4
айдаарыа,2
айдаарыма,1
айдаарымаҥ,3
айдаев,1
айдам,16
айдарыллан,1
айдарыылаах,9
айдарыылааҕын,1
айдарыылааҕынан,2
айдарыыларын,1
айдарыыта,1
айдахо,1
айдылар,1
айдын,1
айдыылаах,1
айдыытыгар,1
айза,2
айзенбергы,2
айкидо,1
айкуо,1
айлаошань,1
айленд,3
айлэнд,1
айлҕаҕа,1
айма,1
аймаабаккытыгар,1
аймаабыт,4
аймаамаары,2
аймаан,4
аймаата,4
аймааһын,1
аймааһынай,1
аймак,1
